Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,-4.7,4.3,0,-4.7,0,0
1,1,1,0,0,-5.3,3.9,0,-5.3,0,0
1,1,2,0,0,-5.7,3.6,0,-5.7,0,0
1,1,3,0,0,-6.1,3.4,0,-6.1,0,0
1,1,4,0,0,-6.5,3.3,0,-6.5,0,0
1,1,5,0,0,-6.8,3.1,0,-6.8,0,0
1,1,6,0,0,-6.6,2.4,0,-6.6,0,0
1,1,7,0,0,-6.6,1.7,0,-6.6,0,0
1,1,8,24,39,-6.6,1,49.763,-7.795,2788.144,2439.6
1,1,9,331,97,-5,1.2,284.248,1.997,15169.604,14527.114
1,1,10,494,138,-3.3,1.3,483.638,10.849,25335.846,24378.527
1,1,11,710,100,-1.7,1.5,649.622,17.48,33240.277,31992.391
1,1,12,761,93,-0.9,2,703.747,18.741,35881.508,34527.598
1,1,13,739,93,-0.2,2.6,672.744,17.24,34488.281,33190.855
1,1,14,625,102,0.6,3.1,546.515,13.917,28261.535,27201.336
1,1,15,218,125,0,2.8,263.315,6.397,13980.702,13370.702
1,1,16,2,51,-0.6,2.4,52.371,-0.406,2916.164,2565.083
1,1,17,0,2,-1.2,2.1,1.94,-3.206,109.476,0
1,1,18,0,0,-1.3,1.9,0,-1.3,0,0
1,1,19,0,0,-1.5,1.7,0,-1.5,0,0
1,1,20,0,0,-1.6,1.5,0,-1.6,0,0
1,1,21,0,0,-1.6,2.2,0,-1.6,0,0
1,1,22,0,0,-1.5,2.9,0,-1.5,0,0
1,1,23,0,0,-1.5,3.6,0,-1.5,0,0
1,2,0,0,0,-1.4,3.9,0,-1.4,0,0
1,2,1,0,0,-1.3,4.3,0,-1.3,0,0
1,2,2,0,0,-1.2,4.6,0,-1.2,0,0
1,2,3,0,0,-1.1,3.9,0,-1.1,0,0
1,2,4,0,0,-0.9,3.3,0,-0.9,0,0
1,2,5,0,0,-0.8,2.6,0,-0.8,0,0
1,2,6,0,0,-0.3,3.3,0,-0.3,0,0
1,2,7,0,0,0.3,3.9,0,0.3,0,0
1,2,8,0,10,0.8,4.6,9.46,-0.577,528.108,222.612
1,2,9,0,45,1.3,4.3,42.692,0.602,2371.459,2031.098
1,2,10,0,80,1.9,3.9,76.444,2.003,4221.208,3843.67
1,2,11,0,105,2.4,3.6,101.225,3.18,5561.742,5155.892
1,2,12,3,168,3.3,3.8,169.453,5.698,9209.603,8720.874
1,2,13,29,199,4.1,3.9,223.715,7.854,12036.458,11477.639
1,2,14,68,185,5,4.1,245.103,9.236,13076.274,12490.385
1,2,15,9,116,4.8,4.3,122.611,6.326,6634.618,6205.278
1,2,16,0,34,4.7,4.4,32.256,4.037,1765.835,1437.169
1,2,17,0,2,4.5,4.6,1.94,3.051,106.634,0
1,2,18,0,0,4.6,4.6,0,4.6,0,0
1,2,19,0,0,4.7,4.6,0,4.7,0,0
1,2,20,0,0,4.8,4.6,0,4.8,0,0
1,2,21,0,0,4.9,5.5,0,4.9,0,0
1,2,22,0,0,4.9,6.3,0,4.9,0,0
1,2,23,0,0,5,7.2,0,5,0,0
1,3,0,0,0,3,7,0,3,0,0
1,3,1,0,0,1,6.9,0,1,0,0
1,3,2,0,0,-1,6.7,0,-1,0,0
1,3,3,0,0,-2.1,6.5,0,-2.1,0,0
1,3,4,0,0,-3.3,6.4,0,-3.3,0,0
1,3,5,0,0,-4.4,6.2,0,-4.4,0,0
