도착시간(hhmm),배터리용량,현배터리상태(가정),80%충전까지 남은 충전용량(E구하는데 필요한 요소),충전소요시간(80%충전기준)(식),예상 자동차 종류(가정)
1000,64,10%,70.0%,6.4,현대 코나
1008,16,30%,50.0%,1.142857143,기아 레이
1016,60,25%,55.0%,4.714285714,쉐보레 볼트
1024,26.6,50%,30.0%,1.14,르노 삼성 SM3 ZE
1032,27,15%,65.0%,2.507142857,기아 쏘울
1040,27,65%,15.0%,0.578571429,기아 쏘울
1048,64,20%,60.0%,5.485714286,현대 코나
1056,58.8,65%,15.0%,1.26,현대 포터
1100,40,30%,50.0%,2.857142857,닛산 리프
1104,28,35%,45.0%,1.8,현대 아이오닉
1108,60,65%,15.0%,1.285714286,쉐보레 볼트
1112,58,70%,10.0%,0.828571429,현대 아이오닉5
1116,58,25%,55.0%,4.557142857,현대 아이오닉5
1120,27,45%,35.0%,1.35,기아 쏘울
1124,40,45%,35.0%,2,닛산 리프
1128,40,70%,10.0%,0.571428571,닛산 리프
1132,28,10%,70.0%,2.8,현대 아이오닉
1136,58.8,65%,15.0%,1.26,현대 포터
1140,60,35%,45.0%,3.857142857,쉐보레 볼트
1144,58.8,55%,25.0%,2.1,기아 봉고3
1148,26.6,40%,40.0%,1.52,르노 삼성 SM3 ZE
1152,64,20%,60.0%,5.485714286,현대 코나
1200,64,35%,45.0%,4.114285714,현대 코나
1204,16,45%,35.0%,0.8,기아 레이
1208,16,65%,15.0%,0.342857143,기아 레이
1212,60,65%,15.0%,1.285714286,쉐보레 볼트
1216,58.8,10%,70.0%,5.88,현대 포터
1220,58,15%,65.0%,5.385714286,현대 아이오닉5
1224,37.9,65%,15.0%,0.812142857,BMW i3
1228,40,30%,50.0%,2.857142857,닛산 리프
1232,16,25%,55.0%,1.257142857,기아 레이
1236,64,20%,60.0%,5.485714286,현대 코나
1240,27,40%,40.0%,1.542857143,기아 쏘울
1244,58.8,10%,70.0%,5.88,기아 봉고3
1248,58.8,30%,50.0%,4.2,현대 포터
1252,58.8,25%,55.0%,4.62,현대 포터
1256,58.8,25%,55.0%,4.62,기아 봉고3
1257,64,35%,45.0%,4.114285714,기아 니로
1300,64,15%,65.0%,5.942857143,기아 니로
1304,27,15%,65.0%,2.507142857,기아 쏘울
1308,28,30%,50.0%,2,현대 아이오닉
1312,58.8,55%,25.0%,2.1,현대 포터
1316,26.6,15%,65.0%,2.47,르노 삼성 SM3 ZE
1320,64,55%,25.0%,2.285714286,현대 코나
1324,28,50%,30.0%,1.2,현대 아이오닉
1328,58.8,45%,35.0%,2.94,현대 포터
1332,64,25%,55.0%,5.028571429,현대 코나
1336,27,45%,35.0%,1.35,기아 쏘울
1340,58.8,70%,10.0%,0.84,기아 봉고3
1344,58.8,15%,65.0%,5.46,기아 봉고3
1348,27,70%,10.0%,0.385714286,기아 쏘울
1352,40,30%,50.0%,2.857142857,닛산 리프
1356,37.9,45%,35.0%,1.895,BMW i3
1358,26.6,25%,55.0%,2.09,르노 삼성 SM3 ZE
1400,60,35%,45.0%,3.857142857,쉐보레 볼트
1403,27,40%,40.0%,1.542857143,기아 쏘울
1406,58,65%,15.0%,1.242857143,현대 아이오닉5
1409,37.9,10%,70.0%,3.79,BMW i3
1412,28,50%,30.0%,1.2,현대 아이오닉
1415,28,65%,15.0%,0.6,현대 아이오닉
1418,26.6,35%,45.0%,1.71,르노 삼성 SM3 ZE
1421,16,70%,10.0%,0.228571429,기아 레이
1424,27,50%,30.0%,1.157142857,기아 쏘울
1427,16,10%,70.0%,1.6,기아 레이
1430,58.8,40%,40.0%,3.36,기아 봉고3
1433,37.9,30%,50.0%,2.707142857,BMW i3
1436,60,15%,65.0%,5.571428571,쉐보레 볼트
1439,60,35%,45.0%,3.857142857,쉐보레 볼트
1442,37.9,45%,35.0%,1.895,BMW i3
1445,40,10%,70.0%,4,닛산 리프
1448,27,30%,50.0%,1.928571429,기아 쏘울
1451,16,10%,70.0%,1.6,기아 레이
1500,60,55%,25.0%,2.142857143,쉐보레 볼트
1503,37.9,10%,70.0%,3.79,BMW i3
1506,58.8,15%,65.0%,5.46,기아 봉고3
1509,40,25%,55.0%,3.142857143,닛산 리프
1512,64,70%,10.0%,0.914285714,현대 코나
1515,64,70%,10.0%,0.914285714,현대 코나
1518,16,15%,65.0%,1.485714286,기아 레이
1521,37.9,15%,65.0%,3.519285714,BMW i3
1524,58,55%,25.0%,2.071428571,현대 아이오닉5
1527,37.9,50%,30.0%,1.624285714,BMW i3
1530,64,40%,40.0%,3.657142857,현대 코나
1533,28,30%,50.0%,2,현대 아이오닉
1536,58.8,45%,35.0%,2.94,기아 봉고3
1539,58,50%,30.0%,2.485714286,현대 아이오닉5
1542,58.8,70%,10.0%,0.84,현대 포터
1545,37.9,40%,40.0%,2.165714286,BMW i3
1548,60,35%,45.0%,3.857142857,쉐보레 볼트
1551,28,20%,60.0%,2.4,현대 아이오닉
1554,58.8,40%,40.0%,3.36,현대 포터
1557,28,20%,60.0%,2.4,현대 아이오닉
1558,58.8,55%,25.0%,2.1,현대 포터
1600,58,45%,35.0%,2.9,현대 아이오닉5
1602,58.8,50%,30.0%,2.52,현대 포터
1604,64,20%,60.0%,5.485714286,기아 니로
1606,58,70%,10.0%,0.828571429,현대 아이오닉5
1608,58,10%,70.0%,5.8,현대 아이오닉5
1610,64,40%,40.0%,3.657142857,현대 코나
1612,16,45%,35.0%,0.8,기아 레이
1614,27,65%,15.0%,0.578571429,기아 쏘울
1616,40,55%,25.0%,1.428571429,닛산 리프
1618,58.8,55%,25.0%,2.1,현대 포터
1620,26.6,20%,60.0%,2.28,르노 삼성 SM3 ZE
1622,60,35%,45.0%,3.857142857,쉐보레 볼트
1624,26.6,35%,45.0%,1.71,르노 삼성 SM3 ZE
1626,58.8,55%,25.0%,2.1,기아 봉고3
1628,16,20%,60.0%,1.371428571,기아 레이
1630,58,40%,40.0%,3.314285714,현대 아이오닉5
1632,16,10%,70.0%,1.6,기아 레이
1634,40,25%,55.0%,3.142857143,닛산 리프
1636,64,50%,30.0%,2.742857143,기아 니로
